query,response_before,response_after,reward_before,reward_after,reward_diff
"Summarize the following conversation. #Person1#: Hello? #Person2#: Hello? #Person1#: Can I speak to Li Hong, please? #Person2#: Speaking. #Person1#: Hi, Li Hong. This is Alice. #Person2#: Hi, Alice. How are you? #Person1#: Not bad. Li Hong, I am sorry that I can't go to see Mrs. Brown with you tomorrow morning. My mother is ill. I must take care of her. #Person2#: I'm sorry to hear that. You'd better stay at home. After all, we can visit Mrs. Brown later #Person1#: OK. Bye - bye. #Person2#: Bye. Summary: </s>",<pad> Alice is not going to see Mrs. Brown with Li Hong tomorrow morning because her mother is sick. Li Hong apologizes. They will visit Mrs. Brown later.</s>,<pad> Alice could not see Mrs. Brown tomorrow morning as Alice's mother is ill.</s>,1.581570029258728,2.710231065750122,1.128661036491394
"Summarize the following conversation. #Person1#: Judy, what is everybody talking about? #Person2#: Haven't you heard? Richard was fired by our manager. #Person1#: You're kidding. It can't be true. #Person2#: Believe it or not. Everybody is talking about it in the company. #Person1#: Really? I'm surprised. #Person2#: Me too. Summary: </s>",<pad> Judy criticizes Rich because Richard was fired and shows him his boss.</s>,<pad> Judy and Judy find it out that Richard was fired by their manager and that everybody knows about it. Judy thinks it's great.</s>,1.07842218875885,1.707718014717102,0.629295825958252
"Summarize the following conversation. #Person1#: Hello. I want to reconfirm our flight to London. #Person2#: Yes, sir. Did you call the airline? #Person1#: Yes, I did. But I couldn't communicate with them in English. They speak only Spanish. So I need your help. #Person2#: Certainly, sir. What is the flight number and when are you leaving? #Person1#: We are taking IB 385 to London tomorrow at 1 p. m. #Person2#: Oh, I see, sir. We have the airline office inside the hotel. They have an English-speaking staff. Just dial 35, please. Summary: </s>","<pad> #Person2#'ll help #Person1# reconfirm their flight to London. #Person1# calls the airline. #Person2# gives #Person1# the flight number, and reminds she'll call 35 to confirm her flight.</s>",<pad> #Person1# asks #Person2# for help in confirming a flight to London tomorrow noon at the IB 385.</s>,1.666883945465088,2.176961660385132,0.510077714920044
"Summarize the following conversation. #Person1#: I'd like to have this cashed, please. #Person2#: Please put you name and address here. May I see your passport? #Person1#: Yes. #Person2#: How would you like it? #Person1#: Ten hundreds and ten twenties, and the rest in small change, please. #Person2#: OK. Here you are. Summary: </s>",<pad> @pandeleting and enabling #Person1#'s passport to cash him.</s>,<pad> #Person1#'d like to have this cashed ten hundred dollars with the rest in small change.</s>,1.4761760234832764,1.8377052545547485,0.36152923107147217
"Summarize the following conversation. #Person1#: Mom, I just finished my paper. Can you proofread it before I hand it in? #Person2#: Sure, let's take a look. Sweetie, this is terrific. Your ideas are so original. #Person1#: Thanks. #Person2#: I can tell you worked hard on it. #Person1#: I really did! I started thinking about what I wanted to say three weeks ago. #Person2#: Well, it was definitely worth all the time. #Person1#: Let's just hope my teacher agrees. Summary: </s>","<pad> #Person1# tells mom she has just finished her paper and recommends those ideas because #Person1# told her she learned to make ""all the time"".</s>",<pad> #Person1# says her mother believes her original paper was really worth it. #Person1#'s teacher accepts the classic paper.</s>,2.0281736850738525,2.329810857772827,0.3016371726989746
"Summarize the following conversation. #Person1#: Here is the final draft of our contract. I'm glad that we have reached an agreement on almost every term in our trade. #Person2#: Yes, it seems to me we have come quite a long way. However, let me take a close look at the final draft. #Person1#: Do you have some points to bring up? #Person2#: Well, everything we've discussed seems to be here. #Person1#: Yes, including a description of the shirts you want to purchase this time, the total amount of your order, the price for each piece, mode of payment, packaging, shipping time, insurance and compensation, claim and arbitration, and rights and duties for both sides. Are all the terms here satisfactory? #Person2#: I'll need a few minutes to check over my notes again on every detail. What about the quality standard? #Person1#: It is said that the sample 25 is the standard for others. It's complete. So would you like to sign the contract right now? Summary: </s>",<pad> #Person2# is glad everyone has reached an agreement on almost every term in their trade. #Person1# tells #Person2# the terms of the contract are there. #Person2# wants to sign the contrat because the sample 26 is the standard for others.</s>,<pad> #Person1# and #Person2# discuss the final draft of the contract. They focus on details at once on each clause in the contract and check over the quality standards. They are still evaluating the contract.</s>,3.2529244422912598,3.54417085647583,0.2912464141845703
"Summarize the following conversation. #Person1#: Where shall I register, please? #Person2#: Here. Do you have a registration card? #Person1#: Yes. Here you are. #Person2#: Please register your information here and pay for it. And I'll make a medical record for you. #Person1#: OK. How much do I need to pay for the registration? #Person2#: Please pay ten yuan for the registration. #Person1#: Here is my money. #Person2#: This is your registration card. Please don't lose it and bring it whenever you come. #Person1#: Yes, I will. But can you tell me how to get to the consulting room? #Person2#: Go down this way until you come to the drugstore. Make a left turn and it's just there. Summary: </s>","<pad> #Person2# asks #Person1# if #Person1# will be registered and pays ten yuan for the registration, #Person1# will make a medical record for @drugstore and help @drugstore to work.</s>",<pad> #Person1# asks #Person2# for directions about Center for Academic Medicine. #Person2# gives #Person1# access to the Dr. Merde and any other hospital's database.</s>,1.5161181688308716,1.783075213432312,0.26695704460144043
"Summarize the following conversation. #Person1#: Oh, my God! What's this? #Person2#: What? #Person1#: Look! This window is open. #Person2#: Did you open it before we left? #Person1#: Are you kidding? It's winter. Why would I open it? #Person2#: I don't know. Wait. Is this yours? #Person1#: No! Oh, my God! Someone has broken into the house. #Person2#: It looks that way. That's probably why the door wasn't locked when we came in. #Person1#: I locked it when I left though. #Person2#: Yes, but the robber broke in. Then, when he left, he left through the door. So it wasn't locked. #Person1#: I don't care about that, Allen! What did he steal? That's the question! #Person2#: Look around. #Person1#: The TV's still here. #Person2#: And your stereo too. So what did he steal? We have to go look upstairs. #Person1#: But what if someone's still up there? #Person2#: I don't think there will be. He left through the door, remember? Summary: </s>","<pad> Allen wonders how an unnamed person broke into the house. Allen tells #Person1# and #Person2# that the robber broke in because #Person1# thought it was winter about it. Allen thinks someone stole the TV, but #2 suggests they look upstairs again.</s>",<pad> Allen and #Person1# talking about a broken door. Allen notices another robber broke his house window but exits one place. They decide to go upstairs.</s>,1.972350001335144,2.2188637256622314,0.2465137243270874
"Summarize the following conversation. #Person1#: I'm forming a music band. #Person2#: Do you already know how to play an instrument? #Person1#: Uh... Yeah! I'Ve told you a thousand times that I'm learning to play the drums. Now that I know how to play well, I would like to form a rock band. #Person2#: Aside from yourself, who are the other members of the band? #Person1#: We have a guy who plays guitar, and another who plays bass. Although we still haven't found anyone to be our singer. You told me that you had some musical talent, right? #Person2#: Yes, I'm a singer. #Person1#: Perfect. So you can audition this weekend here at my house. #Person2#: Great! Wait here? You don't have enough room for the amplifiers, microphones or even your drums! By the way where do you keep them or practice? Summary: </s>","<pad> #Person1# tells #Person2# #Person1# is forming a music band and the members of the band haven't found anyone to be the singer. #Person2# will audition for the band, where to keep the amplifiers, microphones or even the drums at #Person1#'s house.</s>",<pad> #Person1# wants to form a rock band. #Person1# tells #Person2# about the lack of room for the instruments. #Person2# invites #Person1# to audition this weekend at #Person1#'s house due to their musical talent.</s>,2.6118924617767334,2.8073370456695557,0.19544458389282227
"Summarize the following conversation. #Person1#: It smells like an ashtray in here! #Person2#: Hi honey! What's wrong? Why do you have that look on your face? #Person1#: What's wrong? I thought we agreed that you were gonna quit smoking. #Person2#: No! I said I was going to cut down which is very different. You can't just expect me to go cold turkey overnight! #Person1#: Look, there are other ways to quit. You can try the nicotine patch, or nicotine chewing gum. We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place. It's not like you can just light up like before. #Person2#: I know, I know. I am trying but, I don't have the willpower to just quit. I can't fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch! Please understand? #Person1#: Fine! I want a divorce! Summary: </s>","<pad> The hair aging is because #Person2# can't find the willpower, but #Person1# suggests #Person2# try nicotine patches or nicotine chewing gum, but #Person2# is on the edge of quitting because she's trying to save money despite having the willpower to quit.</s>",<pad> #Person1# tells honey #Person2# has the smell of an ashtray but Honey is not willing to quit. They agree more alternatives can be found.</s>,1.4552180767059326,1.6291753053665161,0.1739572286605835
