query,response_before,response_after,reward_before,reward_after,reward_diff
"Summarize the following conversation. #Person1#: Let's take a coffee break, shall we? #Person2#: I wish I could, but I can't. #Person1#: What keeps you so busy? You've been sitting there for hours. You've got to walk around. You just can't stay on the computer forever. #Person2#: Well, I am up to my neck in work. I've got to finish this report. Sarah needs it by noon. I don't want to be scolded if I can't finish my work by the deadline. #Person1#: I understand that, but you'd feel better if you took a break, even for just a short while. Summary:</s>",<pad> Sarah tends to have a habit of sitting around while she is at work. The break would be just that.</s>,<pad> Sarah wants to take a coffee break.</s>,1.3679986000061035,1.7915661334991455,0.423567533493042
"Summarize the following conversation. #Person1#: Judy, what is everybody talking about? #Person2#: Haven't you heard? Richard was fired by our manager. #Person1#: You're kidding. It can't be true. #Person2#: Believe it or not. Everybody is talking about it in the company. #Person1#: Really? I'm surprised. #Person2#: Me too. Summary:</s>",<pad> Judy and Judy discuss Richard's recent firing with everyone. Judy tells Judy Richard was fired but Judy thinks it has to be true. Judy also thinks it cannot be true. Judy get surprised ecq will regret it.</s>,<pad> Judy thinks with only Ron and Mark that Richard was fired by the boss. Justin can't believe he's that surprised.</s>,1.0586758852005005,1.418218970298767,0.3595430850982666
"Summarize the following conversation. #Person1#: Mom, I just finished my paper. Can you proofread it before I hand it in? #Person2#: Sure, let's take a look. Sweetie, this is terrific. Your ideas are so original. #Person1#: Thanks. #Person2#: I can tell you worked hard on it. #Person1#: I really did! I started thinking about what I wanted to say three weeks ago. #Person2#: Well, it was definitely worth all the time. #Person1#: Let's just hope my teacher agrees. Summary:</s>",<pad> #Person1#'s mother proofreads #Person1#'s paper she just finished. #Person2# finds #Person1# worked hard on the paper.</s>,<pad> Mom recommends #Person1# and Mom to proofread the paper before handing it in.</s>,2.370802402496338,2.69612979888916,0.32532739639282227
"Summarize the following conversation. #Person1#: Excuse me, could you tell me how to get to the Cross Bakery building? #Person2#: The Cross Bakery building? Oh sure. You're actually walking in the opposite direction. #Person1#: Oh, you're kidding! I thought I was heading east. #Person2#: No, east is the other direction. To get to the Bakery, you need to turn around and go three blocks to Broadway. When you get to the intersection of Broadway and Elm, you hang a left. Go straight down that street for half a block and then you'll see the building on your left. #Person1#: Okay, let me see if I've got that. I need to go down Elm until I hit Broadway, then I make a left and the building is on my left hand side. Is that right? #Person2#: Yeah, you've got it. Do you want me to show you the way? #Person1#: Thanks for the offer, but I think I've got it. Hopefully, I won't get lost again on my way there! Summary:</s>",<pad> #Person2# shows #Person2# how to get to the Bakery building.</s>,<pad> #Person1# asks #Person2# a hello and tells #Person1# how to get to the Bakery building in the opposite direction.</s>,2.3818905353546143,2.5789525508880615,0.19706201553344727
"Summarize the following conversation. #Person1#: I'd like to have this cashed, please. #Person2#: Please put you name and address here. May I see your passport? #Person1#: Yes. #Person2#: How would you like it? #Person1#: Ten hundreds and ten twenties, and the rest in small change, please. #Person2#: OK. Here you are. Summary:</s>","<pad> #Person2# gives #Person1# details and tells #Person2# where the money will be cashed, between 10 and ten twenties. #Person1# gives no detail as to how much is cashed, and yet #Person2# give cash amount.</s>",<pad> #Person1# wants to have the money cashed from #Person2#'s passport and to make sure that the money is within keeping range of smaller change.</s>,1.6815335750579834,1.8394668102264404,0.15793323516845703
"Summarize the following conversation. #Person1#: Could you help me figure out how to look for a job? #Person2#: We have lots of options, what type of job do you need? #Person1#: I want to work in an office. #Person2#: Do you want to work part-time or full-time? #Person1#: I want to work full-time. #Person2#: We have binders with local job listings or you can make use of the computers. OK? #Person1#: I am confused a bit but I am sure that I can figure it out. #Person2#: If you make an appointment with a job counselor, they can also provide you with a lot of information. Do you want to see a counselor? #Person1#: No, I don't think I need to do that. #Person2#: Well, you know that this job center is here for your use, so help yourself. Good luck! Summary:</s>",<pad> #Person1# in want to work in an office seeks the help of #Person1#'s job listings in their booth. #Person1# does not see a counselor and instead makes an appointment with a job counselor.</s>,<pad> #Person2# helps #Person1# figure out how to look for a job. #Person2# recommends binders with local job listings. #Person1# attempts to make an appointment with a Job Counselor.</s>,1.9622092247009277,2.116053581237793,0.15384435653686523
"Summarize the following conversation. #Person1#: Where shall I register, please? #Person2#: Here. Do you have a registration card? #Person1#: Yes. Here you are. #Person2#: Please register your information here and pay for it. And I'll make a medical record for you. #Person1#: OK. How much do I need to pay for the registration? #Person2#: Please pay ten yuan for the registration. #Person1#: Here is my money. #Person2#: This is your registration card. Please don't lose it and bring it whenever you come. #Person1#: Yes, I will. But can you tell me how to get to the consulting room? #Person2#: Go down this way until you come to the drugstore. Make a left turn and it's just there. Summary:</s>",<pad> #Person2# tells #Person1# where to register and signs the registration card and will make a medical record if #Person2# pays for it.</s>,"<pad> If 90 of the people registered and pay to the standardized drug-store, the symptoms are well documented.</s>",1.342469573020935,1.4937899112701416,0.15132033824920654
"Summarize the following conversation. #Person1#: Today more and more families have personal computers. People have wider range of choice to communicate with the outside world. #Person2#: Right. With the establishment of Internet and a lot of web companies, people are getting more and more dependent on the web. #Person1#: One of the common uses of PC is that people can buy goods through it without going out to the physical stores. #Person2#: Can you tell me how it is done? #Person1#: If a customer is interested in some certain goods, he can ask the web company to have the specimen of the goods shown on the color screen, and then the customer can place an order online to the sales company. And then the goods you want will be delivered to your home. The service is perfect and the delivery is free of charge. #Person2#: I see. So great. Summary:</s>",<pad> #Person1# wants to know why data companies watch ads to buy certain goods online?</s>,"<pad> #Person1# describes one of the common uses of PC: Internet and a lot of web companies, and #Person2# imagines the compromise between ordering goods online and infrastructure of GDP.</s>",2.468425750732422,2.5506510734558105,0.08222532272338867
"Summarize the following conversation. #Person1#: I would like to order some internet today. #Person2#: What kind would you like? #Person1#: What kind of internet is there? #Person2#: You can get DEL or dial-up. #Person1#: Which of those two is best? #Person2#: I would recommend DEL. #Person1#: So that one better? #Person2#: It's better because it doesn't tie up the phone. #Person1#: What do you mean by that? #Person2#: DEL isn't connected through your phone line, but dial-up is. #Person1#: So then I can't use my phone if I'm on the internet? #Person2#: That's correct. With DEL you can do both. Summary:</s>",<pad> #Person1# wants to order some internet and #Person2# recommends DEL. #Person2# tells #Person1# dial up won't tie up the phone because dial-up isn't connected through the phone line and #Person1# can't use #Person1#'s phone if #Person1#'s on the internet with DEL.</s>,"<pad> #Person1# would like to order some internet, and #Person2# recommends DEL to #Person1# the better instead of ties up the phone.</s>",2.2215147018432617,2.2474074363708496,0.02589273452758789
"Summarize the following conversation. #Person1#: How much are you asking for this? #Person2#: I'm offering them to you at 150 yuan a piece. Is that all right? #Person1#: Is tax already included in their price? #Person2#: Yes. Our price can't be matched. #Person1#: Would you consider a volume discount? #Person2#: If you buy 1, 000 or more, you'll get a 10 % discount. #Person1#: I'll accept your offer. Summary:</s>",<pad> #Person1# asks #Person2# politely for level of price. #Person2# also offers some volume discount to #Person1#.</s>,"<pad> #Person2# offers to sell the New York luxury items at 150 yuan a piece, but #Person1# has to agree with a volume discount, which #Person1# accepts.</s>",2.4195849895477295,2.379591703414917,-0.0399932861328125
"Summarize the following conversation. #Person1#: Could you help me, Sir? My flight got in 15 minutes ago. Everyone else has picked up the luggage but mine hasn't come through. #Person2#: I'm sorry, Madam, I'll go and find out if there is any more to come. Summary:</s>",<pad> #Person2# will go and tell #Person1# #Person1#'s flight hasn't arrived to the States yet and #Person1# wants to be sure.</s>,<pad> #Person1# asks #Person2# to help #Person2# do the order but #Person1#'s flight hasn't come through.</s>,2.046232223510742,2.005837917327881,-0.04039430618286133
